Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01707","Pigeon peas, dry","2022","2022","kg/ha","1048.5","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01707","Pigeon peas, dry","2022","2022","t","454","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01318","Pineapples","2022","2022","ha","9138","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01318","Pineapples","2022","2022","kg/ha","22561.2","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01318","Pineapples","2022","2022","t","206164","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01313","Plantains and cooking bananas","2022","2022","ha","11600","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01313","Plantains and cooking bananas","2022","2022","kg/ha","15813.6","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01313","Plantains and cooking bananas","2022","2022","t","183438","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01321","Pomelos and grapefruits","2022","2022","ha","5496","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01321","Pomelos and grapefruits","2022","2022","kg/ha","13894.5","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01321","Pomelos and grapefruits","2022","2022","t","76364","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01510","Potatoes","2022","2022","ha","464011","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01510","Potatoes","2022","2022","kg/ha","21863.4","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01510","Potatoes","2022","2022","t","10144835","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01235","Pumpkins, squash and gourds","2022","2022","ha","50962","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01235","Pumpkins, squash and gourds","2022","2022","kg/ha","12913.2","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01235","Pumpkins, squash and gourds","2022","2022","t","658084","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01443","Rape or colza seed","2022","2022","ha","330730","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01443","Rape or colza seed","2022","2022","kg/ha","1238.7","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01443","Rape or colza seed","2022","2022","t","409659","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","21641.01","Rapeseed or canola oil, crude","2022","2022","t","217000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2351f","Raw cane or beet sugar (centrifugal only)","2022","2022","t","83671.87","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02951.03","Raw hides and skins of buffaloes","2022","2022","t","2764.14","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5320","Producing Animals/Slaughtered","02951.03","Raw hides and skins of buffaloes","2022","2022","An","87289","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02951.01","Raw hides and skins of cattle","2022","2022","t","33674.64","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5320","Producing Animals/Slaughtered","02951.01","Raw hides and skins of cattle","2022","2022","An","2792136","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","66960.16","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2022","2022","An","13387000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","1176.8","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2022","2022","An","1013000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02212","Raw milk of buffalo","2022","2022","t","326850","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02212","Raw milk of buffalo","2022","2022","An","527800","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02211","Raw milk of cattle","2022","2022","t","11766600","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02211","Raw milk of cattle","2022","2022","An","8645000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02292","Raw milk of goats","2022","2022","t","915180","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02292","Raw milk of goats","2022","2022","An","9371000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02291","Raw milk of sheep","2022","2022","t","65370","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5318","Milk Animals","02291","Raw milk of sheep","2022","2022","An","1313000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2022","2022","ha","11692365","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0113","Rice","2022","2022","kg/ha","4891.2","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0113","Rice","2022","2022","t","57189193","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01921.01","Seed cotton, unginned","2022","2022","ha","15516","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","4189.2","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01921.01","Seed cotton, unginned","2022","2022","t","65000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01444","Sesame seed","2022","2022","ha","33047","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01444","Sesame seed","2022","2022","kg/ha","939.9","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01444","Sesame seed","2022","2022","t","31060","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5111","Stocks","02122","Sheep","2022","2022","An","3752000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","21514","Sheep fat, unrendered","2022","2022","t","413.82","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5320","Producing Animals/Slaughtered","21514","Sheep fat, unrendered","2022","2022","An","1013000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","2489.08","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","22110.02","Skim milk of cows","2022","2022","t","627677.71","I","Imputed value",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0114","Sorghum","2022","2022","ha","66","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0114","Sorghum","2022","2022","kg/ha","1212.1","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0114","Sorghum","2022","2022","t","80","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","2161","Soya bean oil","2022","2022","t","374000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0141","Soya beans","2022","2022","ha","58564","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0141","Soya beans","2022","2022","kg/ha","1684.4","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0141","Soya beans","2022","2022","t","98646","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01215","Spinach","2022","2022","ha","9919","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01215","Spinach","2022","2022","kg/ha","6236.4","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01215","Spinach","2022","2022","t","61859","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01354","Strawberries","2022","2022","ha","26","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01354","Strawberries","2022","2022","kg/ha","6423.1","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01354","Strawberries","2022","2022","t","167","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01802","Sugar cane","2022","2022","ha","72263","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","42724.9","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01802","Sugar cane","2022","2022","t","3087428","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01530","Sweet potatoes","2022","2022","ha","28940","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01530","Sweet potatoes","2022","2022","kg/ha","10494.5","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01530","Sweet potatoes","2022","2022","t","303710","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01324","Tangerines, mandarins, clementines","2022","2022","ha","0","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01324","Tangerines, mandarins, clementines","2022","2022","t","0","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01620","Tea leaves","2022","2022","ha","56646","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01620","Tea leaves","2022","2022","kg/ha","7926.4","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01620","Tea leaves","2022","2022","t","449000","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01234","Tomatoes","2022","2022","ha","29603","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01234","Tomatoes","2022","2022","kg/ha","14941","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01234","Tomatoes","2022","2022","t","442299","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01929.02","True hemp, raw or retted","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01929.02","True hemp, raw or retted","2022","2022","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01970","Unmanufactured tobacco","2022","2022","ha","40600","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01970","Unmanufactured tobacco","2022","2022","kg/ha","2274","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01970","Unmanufactured tobacco","2022","2022","t","92326","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0111","Wheat","2022","2022","ha","314738","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","0111","Wheat","2022","2022","kg/ha","3450","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2022","2022","t","1085834","A","Official figure",""
